Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2018,2018 HWC,"Obesity - Women - Less Than $25,000",South Carolina,33,44.3,0.74,49,39.6,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Obesity - Women - Less than High School,South Carolina,0,38.8,0,48.7,28.9,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Obesity - Women - Multiracial,South Carolina,0,33.5,0,46.9,20.1,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Obesity - Women - Other Race,South Carolina,0,,0,95.2,0,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Obesity - Women - Rural,South Carolina,0,38.1,0,46.4,29.7,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Obesity - Women - Some College,South Carolina,39,38.9,0.84,43.4,34.3,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Obesity - Women - Suburban,South Carolina,0,35.5,0,41.8,29.2,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Obesity - Women - Urban,South Carolina,0,34.7,0,42.5,26.8,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Obesity - Women - White,South Carolina,24,24.4,0.1,27.1,21.8,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Outcomes-Children,South Carolina,22,-0.006,-0.006,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Outcomes-HWC,South Carolina,38,-0.111,-0.111,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Outcomes-Infants,South Carolina,44,-0.065,-0.065,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Outcomes-Women,South Carolina,42,-0.04,-0.04,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Overall-Children,South Carolina,35,-0.081,-0.081,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Overall-HWC,South Carolina,36,-0.29,-0.29,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Overall-Infants,South Carolina,34,-0.061,-0.061,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Overall-Women,South Carolina,39,-0.148,-0.148,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Overweight or Obese-Youth,South Carolina,35,32.9,0.39,,,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2016
2018,2018 HWC,Physical Inactivity - Women,South Carolina,34,22.5,0.14,24.4,20.6,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,"Physical Inactivity - Women - $25-$49,999",South Carolina,29,24.7,0.08,29.3,20.1,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,"Physical Inactivity - Women - $50-$74,999",South Carolina,0,13.7,0,17.9,9.5,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,"Physical Inactivity - Women - $75,000 or More",South Carolina,30,13.2,0.13,16.9,9.5,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Aged 18-24,South Carolina,27,18.3,-0.05,22.2,14.3,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Aged 25-34,South Carolina,32,22.5,0.12,25.7,19.3,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Aged 35-44,South Carolina,35,25.7,0.25,28.8,22.7,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - American Indian/Alaskan Native,South Carolina,0,,0,67.3,14.9,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Asian,South Carolina,0,,0,22.1,0.5,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Black,South Carolina,0,30,0,33.8,26.3,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - College Grad,South Carolina,29,12.9,-0.06,15.3,10.6,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Hawaiian/Pacific Islander,South Carolina,0,,0,60.4,0,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - High School Grad,South Carolina,26,31.4,0.06,36.2,26.6,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Hispanic,South Carolina,0,29.3,0,39,19.6,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,"Physical Inactivity - Women - Less Than $25,000",South Carolina,26,34.2,0.07,38.7,29.6,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Less than High School,South Carolina,0,46,0,56,36.1,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Multiracial,South Carolina,0,21,0,31.1,10.9,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Other Race,South Carolina,0,,0,64.9,0,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
